victim,input_level,condition,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu
"face",5,"stress",8,2830.780049,968.569042,1862.211007
"face",5,"solo",9,893.514861,893.474443,0.040418
"face",5,"stress",9,2294.379059,938.306491,1356.072568
"face",5,"solo",10,919.084224,918.998063,0.086161
"face",5,"stress",10,2508.620923,908.542987,1600.077936
"face",5,"solo",11,897.486864,897.420538,0.066326
"face",5,"stress",11,1779.313113,940.925856,838.387257
"face",5,"solo",12,899.866177,899.577902,0.288275
"face",5,"stress",12,2649.503353,973.52429,1675.979063
"face",5,"solo",13,920.32787,918.835956,0.05227
"face",5,"stress",13,2219.612206,936.513839,1283.086775
"face",5,"solo",14,902.858917,902.7751,0.083817
"face",5,"stress",14,1580.563912,925.135051,655.42276
"face",5,"solo",15,925.534892,925.286903,0.247989
"face",5,"stress",15,1869.607227,893.633636,975.973591
"face",5,"solo",16,915.339956,915.29387,0.046086
"face",5,"stress",16,2060.655996,963.266201,1097.389795
"face",5,"solo",17,899.210776,899.058729,0.152047
"face",5,"stress",17,1441.411504,955.117143,486.294361
"face",5,"solo",18,914.376403,914.311888,0.064515
"face",5,"stress",18,1959.239339,913.662038,1045.577301
"face",5,"solo",19,906.874292,906.841021,0.033271
"face",5,"stress",19,1488.544394,933.191546,555.352848
"face",5,"solo",20,908.971085,908.582723,0.388362
"face",5,"stress",20,2038.381605,943.492367,1094.889238
"face",10,"solo",1,1490.588474,1490.544273,0.044201
"face",10,"stress",1,5158.316462,1611.688105,3546.628357
"face",10,"solo",2,1472.355716,1472.305623,0.050093
"face",10,"stress",2,5131.552108,1553.233779,3578.318329
"face",10,"solo",3,1489.350403,1489.121881,0.228522
"face",10,"stress",3,4189.433867,1513.618459,2675.815408
"face",10,"solo",4,1476.109483,1475.731875,0.377608
"face",10,"stress",4,4613.358352,1571.453956,3041.904396
"face",10,"solo",5,1592.499991,1592.415815,0.084176
"face",10,"stress",5,3403.396507,1543.13115,1860.265357
"face",10,"solo",6,1469.82689,1469.742699,0.084191
"face",10,"stress",6,2311.516825,1506.103433,805.413392
"face",10,"solo",7,1469.994232,1469.952243,0.041989
"face",10,"stress",7,5033.598903,1474.820447,3558.778456
"face",10,"solo",8,1467.700215,1467.656994,0.043221
"face",10,"stress",8,3129.333337,1554.424703,1574.908634
"face",10,"solo",9,1459.736456,1459.413466,0.32299
"face",10,"stress",9,2896.626406,1501.629901,1394.996505
"face",10,"solo",10,1576.859352,1576.78499,0.074362
"face",10,"stress",10,4116.409593,1531.890352,2584.519241
"face",10,"solo",11,1488.849289,1488.783437,0.065852
"face",10,"stress",11,2812.396147,1496.578714,1315.817433
"face",10,"solo",12,1502.023635,1501.908296,0.043173
"face",10,"stress",12,4155.436248,1595.768206,2559.63503
"face",10,"solo",13,1484.887435,1484.794069,0.04284
"face",10,"stress",13,2418.434556,1495.635001,922.759821
"face",10,"solo",14,1467.832879,1467.399031,0.385778
"face",10,"stress",14,5168.370556,1550.967322,3617.397522
"face",10,"solo",15,1475.976167,1475.920532,0.055635
"face",10,"stress",15,4310.468766,1528.768269,2781.700497
"face",10,"solo",16,1474.624897,1474.565334,0.059563
"face",10,"stress",16,4648.598108,1555.953056,3092.645052
"face",10,"solo",17,1449.286791,1449.249821,0.03697
"face",10,"stress",17,3052.504148,1538.309071,1514.195077
"face",10,"solo",18,1478.955082,1478.667341,0.287741
"face",10,"stress",18,2817.635495,1497.203824,1320.431671
"face",10,"solo",19,1502.013854,1501.941536,0.072318
"face",10,"stress",19,2670.424022,1508.927815,1161.496207
"face",10,"solo",20,1485.911173,1485.545546,0.342914
"face",10,"stress",20,2764.400585,1496.691345,1267.689544
"face",15,"solo",1,2039.668389,2039.556699,0.06861
"face",15,"stress",1,5792.57264,2105.905455,3686.631698
"face",15,"solo",2,2032.891175,2032.793541,0.032741
"face",15,"stress",2,7374.426933,2135.640914,5238.740835
"face",15,"solo",3,2040.371062,2040.260333,0.051628
"face",15,"stress",3,3871.334914,2075.63669,1795.698224
"face",15,"solo",4,2024.665358,2024.633727,0.031631
"face",15,"stress",4,4823.373566,2145.945204,2677.428362
"face",15,"solo",5,2049.294131,2049.251071,0.04306
"face",15,"stress",5,5275.573273,2100.127405,3175.445868
"face",15,"solo",6,2084.083547,2083.994591,0.088956
"face",15,"stress",6,5518.767096,2125.662273,3393.104823
"face",15,"solo",7,2077.377687,2077.339184,0.038503
"face",15,"stress",7,6143.632656,2186.229198,3957.403458
"face",15,"solo",8,2080.544514,2080.508033,0.036481
"face",15,"stress",8,6622.627605,2108.740892,4513.886713
"face",15,"solo",9,2037.054901,2037.008346,0.046555
"face",15,"stress",9,6760.546605,2177.868639,4582.677966
"face",15,"solo",10,2028.580571,2028.535046,0.045525
"face",15,"stress",10,4067.43497,2072.497802,1994.937168
"face",15,"solo",11,2084.83462,2084.796167,0.038453
"face",15,"stress",11,4861.430655,2070.297276,2791.133379
"face",15,"solo",12,2040.159796,2040.113056,0.04674
"face",15,"stress",12,5991.427209,2182.416626,3809.010583
"face",15,"solo",13,2036.17938,2035.851656,0.327724
"face",15,"stress",13,6025.626509,2151.71916,3873.907349
